,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Lewotobi Laki-Laki,Lewotobi Laki-Laki,LOC,0.00000000,0.00000000,de,9.00000000,,-1,,,,,,
Flores,Flores,LOC,-0.08750000,0.00000000,de,8.00000000,,-1,,,,,,
Flughafen,Flughafen,LOC,-0.28000000,0.00000000,de,5.00000000,,-1,,,,,,
Erde,Erde,LOC,0.00000000,0.00000000,de,4.00000000,,-1,,,,,,
Philippinen,Philippinen,LOC,0.56666667,0.00000000,de,3.00000000,,-1,,,,,,
Neapel,Neapel,LOC,0.00000000,0.00000000,de,3.00000000,,-1,,,,,,
Aschesäule,Aschesäule,LOC,1.00000000,0.00000000,de,3.00000000,,-1,,,,,,
Hawaii,Hawaii,LOC,0.26923077,0.00000000,de,2.60000000,,-1,,,,,,
Iran,Iran,LOC,-0.12500000,0.00000000,de,2.00000000,,-1,,,,,,
Negros,Negros,LOC,-0.17500000,0.25000000,de,2.00000000,,-1,,,,,,
Mount Kanlaon,Mount Kanlaon,LOC,-0.17500000,0.25000000,de,2.00000000,,-1,,,,,,
Kilauea-Caldera,Kilauea-Caldera,LOC,0.35000000,0.00000000,de,2.00000000,,-1,,,,,,
Vulkans Taal,Vulkans Taal,LOC,0.50000000,0.00000000,de,2.00000000,,-1,,,,,,
Manila,Manila,LOC,0.50000000,0.00000000,de,2.00000000,,-1,,,,,,
Feuerberg,Feuerberg,LOC,0.70000000,0.00000000,de,2.00000000,,-1,,,,,,
Nevado del Ruiz,Nevado del Ruiz,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Armero,Armero,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Außenpo…,Außenpo…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Azoren,Azoren,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Algarve,Algarve,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Pazifik,Pazifik,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Beobachter,Beobachter,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Europas,Europas,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Portugal,Portugal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Lissabon,Lissabon,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Grindavík,Grindavík,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Japan,Japan,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kagoshima,Kagoshima,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sakurajima,Sakurajima,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Guatemala,Guatemala,LOC,0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Abständen,Abständen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Taal,Taal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Lavafontänen,Lavafontänen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Afrikas,Afrikas,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
pass… Inseln,pass… Inseln,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mount Batur,Mount Batur,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bali,Bali,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
türkisen Meer,türkisen Meer,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gili-Inseln,Gili-Inseln,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Reisterrassen,Reisterrassen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Evakuierungen,Evakuierungen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Jahrtausenden,Jahrtausenden,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Iran-Pakistan,Iran-Pakistan,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Taftan,Taftan,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Heißer Lavasee,Heißer Lavasee,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Lava,Lava,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kilauea,Kilauea,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Spaniens,Spaniens,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Japans,Japans,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
