,phrase,label,sentiment,subjectivity,language,count
Hayli Gubbi,Hayli Gubbi,PER,0.14529914529914525,0.16524216524216517,de,11.700000000000003
Lando Norris,Lando Norris,PER,0.0,0.0,de,2.6
Diletta Leotta,Diletta Leotta,PER,0.4047619047619047,0.0,de,2.1
Lewotobi Laki-Laki,Lewotobi Laki-Laki,PER,0.0,0.0,de,2.0
Carlos Casas,Carlos Casas,PER,0.0,0.0,de,1.9
Ulla Lohmann,Ulla Lohmann,PER,0.0,0.0,de,1.8
Alarmstufe Rot,Alarmstufe Rot,PER,-0.5384615384615384,0.0,de,1.3
Pompejis Untergang,Pompejis Untergang,PER,0.0,0.0,de,1.0
Ätna hochaktiv,Ätna hochaktiv,PER,0.0,0.0,de,1.0
Fifa-Chef Infantino,Fifa-Chef Infantino,PER,0.0,0.0,de,1.0
Pedro Sánchez,Pedro Sánchez,PER,-1.0,0.0,de,1.0
Alarmstufe rot,Alarmstufe rot,PER,0.0,0.0,de,1.0
Vulkane Mittelamerikas,Vulkane Mittelamerikas,PER,0.0,0.0,de,1.0
Ätna hochaktiv ,Ätna hochaktiv ,PER,0.0,0.0,de,1.0
Volcán de Fuego,Volcán de Fuego,PER,0.0,0.0,de,1.0
hochaktivem Ätna,hochaktivem Ätna,PER,-1.0,0.0,de,1.0
Loris Karius,Loris Karius,PER,-0.7,0.0,de,1.0
Annette Pehnt,Annette Pehnt,PER,0.0,0.0,de,1.0
FC-Schalke-Keeper Loris Karius,FC-Schalke-Keeper Loris Karius,PER,0.0,0.0,de,1.0
Stefano Branca,Stefano Branca,PER,-1.0,0.0,de,1.0
Ätna-Asche legt Catania,Ätna-Asche legt Catania,PER,-1.0,0.0,de,1.0
Claudinne Ogaldes,Claudinne Ogaldes,PER,0.0,1.0,de,1.0
Tom Hiddleston,Tom Hiddleston,PER,-0.7,0.0,de,1.0
Ramon Antonio Rodriguez,Ramon Antonio Rodriguez,PER,0.0,0.0,de,1.0
Sabine Küster-Reeck,Sabine Küster-Reeck,PER,0.85,0.0,de,1.0
August verdunkeln,August verdunkeln,PER,-0.7,0.0,de,1.0
Patrick Bahners,Patrick Bahners,PER,0.0,0.0,de,1.0
Retter bergen,Retter bergen,PER,0.0,0.0,de,1.0
Donald Trumps,Donald Trumps,PER,0.0,0.0,de,1.0
Rätselhafter Feuerberg,Rätselhafter Feuerberg,PER,0.0,0.0,de,1.0
Higashi Mino,Higashi Mino,PER,0.0,0.0,de,1.0
Meterhohe Asche-Wolke,Meterhohe Asche-Wolke,PER,0.0,0.0,de,1.0
Gendarmerie de La Ré,Gendarmerie de La Ré,PER,0.0,0.0,de,1.0
kilometerhohe Aschewolke,kilometerhohe Aschewolke,PER,0.0,0.0,de,1.0
Lando N,Lando N,PER,0.0,0.0,de,1.0
Grindavíks Bewohnern,Grindavíks Bewohnern,PER,0.0,0.0,de,1.0
Europas Pestweg,Europas Pestweg,PER,0.0,0.0,de,1.0
Addis Abeba,Addis Abeba,PER,0.0,0.0,de,1.0
Joana Piolo,Joana Piolo,PER,1.0,0.0,de,1.0
