,Hazard,Mitigation,Impacts,Invalid
2025-09-30,0.0,0.0,0.0,0.0
2025-10-11,0.0,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0
2025-10-15,0.0,1.0,3.0,0.0
2025-10-16,0.0,0.0,0.0,0.0
2025-10-17,0.0,0.0,0.0,1.0
2025-10-18,1.0,0.0,0.0,0.0
2025-10-20,1.0,0.0,0.0,0.0
2025-10-25,1.0,0.0,0.0,0.0
2025-10-26,3.0,0.0,0.0,0.0
2025-10-29,0.0,0.0,0.0,0.0
2025-11-07,0.9,0.0,0.0,0.0
2025-11-10,1.0,1.0,0.0,0.0
2025-11-12,0.0,0.0,0.0,0.9
2025-11-13,0.8,0.0,0.0,0.0
2025-11-17,1.8,0.0,0.0,0.0
2025-11-19,5.1,0.8,0.0,0.0
2025-11-20,6.900000000000001,0.0,0.0,0.0
2025-11-23,0.9,0.0,0.0,0.7
2025-11-24,4.8,0.0,0.0,2.0999999999999996
2025-11-25,0.8,0.0,0.0,0.0
2025-11-26,2.5,0.0,0.0,0.0
2025-12-04,0.9,0.0,0.0,0.0
2025-12-06,0.9,0.0,0.0,0.0
2025-12-07,0.8,0.0,0.0,0.0
2025-12-10,0.0,0.0,0.0,0.7
2025-12-11,0.9,0.0,0.0,0.7
2025-12-26,0.0,1.6,0.0,0.7
2025-12-27,0.0,0.8,0.0,0.7
2025-12-28,3.2,2.4000000000000004,0.8,1.4
2025-12-29,0.0,0.8,0.0,0.0
2026-01-05,0.0,0.0,0.0,0.7
2026-01-07,0.8,0.0,0.0,0.0
2026-01-08,0.0,0.0,0.0,0.7
2026-01-12,0.8,0.0,0.0,0.0
2026-01-14,0.8,0.0,0.0,0.0
2026-01-17,0.0,0.0,0.0,0.7
2026-01-28,0.9,0.0,0.0,0.0
