,summary,Mitigation,Impacts,Hazard,word
summaryOfAllWords,57308.42140106473,20275.946081299793,9524.59352239348,27507.881797382404,
Guatemala,76.2009715167675,-0.01632525757438193,-0.24556587619485465,0.08372273551640545,Guatemala
Der,345.0218682390698,0.017993425641785125,-0.17709225052259295,0.041921414238600345,Der
guatemala der,6.1001765180508745,0.04131284401771915,0.02976580037229692,-0.04243852756185478,guatemala der
Vulkan,1492.3048470301815,0.045422191661625304,-0.26758860121579703,0.04596625310820674,Vulkan
der vulkan,253.2988509406106,0.039022040815475154,-0.2343465132116015,0.04210527059708213,der vulkan
brodelt,26.115447035860992,0.0364218606334398,-0.11911557094588326,0.011474653392777454,brodelt
vulkan brodel+t,5.500609921101885,0.04000722409134005,0.042288236962624404,-0.046089269392565926,vulkan brodel+t
Zeit,15.847584715340963,0.05397334889861285,-0.0695632869684161,-0.0177660281889325,Zeit
brodel+t zeit,4.203555112829644,0.03582609994495648,0.077372847873699,-0.05629525814291853,brodel+t zeit
kreisförmig,3.8866147013579226,0.03434428969108483,0.088371166843692,-0.05948038426644791,kreisförmig
zeit kreisförmig,3.8866147013579226,0.03434428969108483,0.088371166843692,-0.05948038426644791,zeit kreisförmig
premium,9.251245388044136,0.02422686657366248,-0.034886630218486425,-0.0062237187940606415,premium
kreisförmig premium,3.5894942657533906,0.032694057411975896,0.09992582376769575,-0.06281619832446307,kreisförmig premium
Ruinen,3.443640072155599,0.031768940506558874,0.1061202429188248,-0.0645996028381063,Ruinen
premium ruine+n,3.443640072155599,0.031768940506558874,0.1061202429188248,-0.0645996028381063,premium ruine+n
präkolumbischen,3.5894942657533906,0.032694057411975896,0.09992582376769575,-0.06281619832446307,präkolumbischen
ruine+n präkolumbisch+en,3.5894942657533906,0.032694057411975896,0.09992582376769575,-0.06281619832446307,ruine+n präkolumbisch+en
Großstadt,5.151704238830864,0.039101293560390174,0.05048630053948693,-0.04847826097862504,Großstadt
präkolumbisch+en großstadt,3.978198991617692,0.03479885848011722,0.0850640385971727,-0.05852358660612792,präkolumbisch+en großstadt
Regenwald,4.455396072990257,0.03684175654208747,0.0694468122633131,-0.053994729323162544,Regenwald
großstadt regen+wald,4.455396072990257,0.03684175654208747,0.0694468122633131,-0.053994729323162544,großstadt regen+wald
aktive,26.83330924978128,0.05105205679985386,-0.10764386725279737,-0.0032770332061180935,aktive
regen+wald aktiv+e,5.500609921101885,0.04000722409134005,0.042288236962624404,-0.046089269392565926,regen+wald aktiv+e
Vulkane,77.76693892498022,0.05034077499197262,-0.174959670320311,0.017368688974264412,Vulkane
aktiv+e vulkan+e,18.03127075514312,0.04942582916219064,-0.07714195766578859,-0.011709091301073268,aktiv+e vulkan+e
bunte,4.895760185873371,0.0383500641209615,0.0570116779601726,-0.050378487632580696,bunte
vulkan+e bunt+e,4.895760185873371,0.0383500641209615,0.0570116779601726,-0.050378487632580696,vulkan+e bunt+e
Kolonialstädte,4.455396072990257,0.03684175654208747,0.0694468122633131,-0.053994729323162544,Kolonialstädte
bunt+e kolonialstädte,4.455396072990257,0.03684175654208747,0.0694468122633131,-0.053994729323162544,bunt+e kolonialstädte
kolonialstädte guatemala,4.650368715297306,0.03754718744625298,0.06373570329220701,-0.05233482242995057,kolonialstädte guatemala
besitzt,3.6081037930979285,0.0328061820833631,0.09916185212215055,-0.06259600083900904,besitzt
guatemala besitz+t,3.6081037930979285,0.0328061820833631,0.09916185212215055,-0.06259600083900904,guatemala besitz+t
Geschichte,4.964501307341059,0.03855987775184745,0.05521277020448933,-0.04985478283711521,Geschichte
besitz+t geschichte,3.3274031988001314,0.03096736320677349,0.11133818346120262,-0.06609902062789078,besitz+t geschichte
Geologie,3.1768870849705486,0.02983245022539156,0.1185067484863697,-0.06815451554276204,Geologie
geschichte geologie,3.1768870849705486,0.02983245022539156,0.1185067484863697,-0.06815451554276204,geschichte geologie
Zentralamerikas,3.1045398853896327,0.029243310628994906,0.12213320662574763,-0.06919232928349774,Zentralamerikas
geologie zentralamerika+s,3.1045398853896327,0.029243310628994906,0.12213320662574763,-0.06919232928349774,geologie zentralamerika+s
bieten,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,bieten
zentralamerika+s biet+en,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,zentralamerika+s biet+en
Schwitzend,2.918426059479956,0.027577348678259936,0.13206630831918106,-0.07202775413360149,Schwitzend
plagen,2.8682197855769753,0.02708642273192603,0.1349086161620954,-0.07283711031732876,plagen
schwitz+end plag+en,2.8682197855769753,0.02708642273192603,0.1349086161620954,-0.07283711031732876,schwitz+end plag+en
Wanderer,38.86549079680934,-0.07110294880861874,-0.28524804637993845,0.1279704197735542,Wanderer
plag+en wanderer,2.8051195142547316,0.02644144651739309,0.13858796845095683,-0.07388348217500088,plag+en wanderer
bergauf,2.7738114318150124,0.026109203338255442,0.14045979378994872,-0.07441522876607735,bergauf
wanderer bergauf,2.7738114318150124,0.026109203338255442,0.14045979378994872,-0.07441522876607735,wanderer bergauf
Ihnen,5.423101581354413,0.027114313234910474,0.03307420157165121,-0.0324226613836599,Ihnen
folgen,2.727033449046223,0.025596815386907456,0.14331625475442117,-0.07522592860061121,folgen
ihnen folg+en,2.727033449046223,0.025596815386907456,0.14331625475442117,-0.07522592860061121,ihnen folg+en
zwei,30.896619199732427,-0.028135841458260712,-0.1710349866813729,0.07221177885591834,zwei
folg+en zwei,2.7071837054360426,0.025373372968722146,0.14455066902712596,-0.07557598541129684,folg+en zwei
gesattelte,2.6936835337586245,0.025219290475752602,0.14539800582558976,-0.07581617426951315,gesattelte
zwei gesattelt+e,2.6936835337586245,0.025219290475752602,0.14539800582558976,-0.07581617426951315,zwei gesattelt+e
Pferde,2.6657791683712397,0.02489524181331002,0.14716980721200165,-0.07631815130988871,Pferde
gesattelt+e pferd+e,2.6657791683712397,0.02489524181331002,0.14716980721200165,-0.07631815130988871,gesattelt+e pferd+e
Führer,2.6290453555425444,0.02445684465939347,0.1495452163033156,-0.0769905785979213,Führer
pferd+e führer,2.6290453555425444,0.02445684465939347,0.1495452163033156,-0.0769905785979213,pferd+e führer
Berg,9.732034168940343,0.002216178464838794,-0.060034024613853015,0.018369989033430432,Berg
bequem,2.5612458975316637,0.02361041833483906,0.1540635305189977,-0.07826783959062311,bequem
berg bequem,2.5612458975316637,0.02361041833483906,0.1540635305189977,-0.07826783959062311,berg bequem
hinaufreiten,2.5493590575453373,0.023456786263507296,0.1548743206481721,-0.07849679122814747,hinaufreiten
bequem hinauf+reit+en,2.5493590575453373,0.023456786263507296,0.1548743206481721,-0.07849679122814747,bequem hinauf+reit+en
wolle,2.5285092691331257,0.023183375247032054,0.15631034848917166,-0.0789021136254804,wolle
hinauf+reit+en woll+e,2.5285092691331257,0.023183375247032054,0.15631034848917166,-0.0789021136254804,hinauf+reit+en woll+e
frohlocken,2.5178886787549475,0.02304213905468725,0.1570487413425357,-0.0791104350496198,frohlocken
woll+e frohlock+en,2.5178886787549475,0.02304213905468725,0.1570487413425357,-0.0791104350496198,woll+e frohlock+en
Gleich,3.2844165282049094,0.030654993634690913,0.11333610699431369,-0.06667242577537885,Gleich
Beginn,14.359616296252756,-0.044269766471128555,-0.1415770484040076,0.07476262709658762,Beginn
gleich beginn,2.481681203859434,0.022550374332992795,0.15960188839674383,-0.07983026943975692,gleich beginn
au…,2.4580118276025953,0.02222004778691555,0.16130162032071543,-0.08030907895733869,au…
beginn au…,2.4580118276025953,0.02222004778691555,0.16130162032071543,-0.08030907895733869,beginn au…
+9349,2.4521244665284856,0.02213676549537019,0.1617282577049706,-0.08042920966857463,+9349
au… +9349,2.4521244665284856,0.02213676549537019,0.1617282577049706,-0.08042920966857463,au… +9349
chars,212.8334245745973,0.001195023791209888,-0.2049220303121645,0.061353700074523614,chars
+9349 char+s,2.445233315806801,0.022038708017043763,0.1622296138368556,-0.08057035281232465,+9349 char+s
Welche,5.632648615595583,0.040319509763930644,0.03937259996614024,-0.04523933676761035,Welche
Kanareninsel,7.986670286719088,-0.0036621349019145604,-0.04287193539577606,0.01707842411342325,Kanareninsel
welche kanareninsel,2.552705856596476,0.023500205272076597,0.15464546207802427,-0.07843217355340906,welche kanareninsel
Richtige,2.5903692771269284,0.023980117220299246,0.1521008400250934,-0.0777133022554304,Richtige
kanareninsel richtig+e,2.5903692771269284,0.023980117220299246,0.1521008400250934,-0.0777133022554304,kanareninsel richtig+e
Inseln,4.3092740870424215,0.03626803951916901,0.07396521858682448,-0.05530667683675619,Inseln
ewigen,4.195649507972641,0.03579208448298774,0.07763258722492423,-0.056370579194221164,ewigen
insel+n ewig+en,4.195649507972641,0.03579208448298774,0.07763258722492423,-0.056370579194221164,insel+n ewig+en
Frühlings,4.14020108212741,0.03554955384315288,0.07947424857659373,-0.05690450487973946,Frühlings
ewig+en frühling+s,4.14020108212741,0.03554955384315288,0.07947424857659373,-0.05690450487973946,ewig+en frühling+s
Die,95.51960305588622,-0.004957420490515472,-0.21745585789620195,0.06888686277566852,Die
frühling+s der,4.07265345357295,0.035244424401237893,0.08176610923863674,-0.05756861800825825,frühling+s der
Kanaren,4.0529766195926085,0.035153463079697446,0.0824440179734448,-0.0577649833024471,Kanaren
der kanaren,4.0529766195926085,0.035153463079697446,0.0824440179734448,-0.0577649833024471,der kanaren
Spaniens,4.0257499936953405,0.035026007989172374,0.08338986796981239,-0.05803890486255285,Spaniens
kanaren spanien+s,4.0257499936953405,0.035026007989172374,0.08338986796981239,-0.05803890486255285,kanaren spanien+s
Sonneninseln,3.998570903309449,0.034896893564956656,0.08434328117956039,-0.05831494926289376,Sonneninseln
spanien+s sonne+n+insel+n,3.998570903309449,0.034896893564956656,0.08434328117956039,-0.05831494926289376,spanien+s sonne+n+insel+n
Küste,6.5350116035531896,-0.03433374923816868,-0.04500329384677805,0.03933098896102625,Küste
sonne+n+insel+n küste,3.9674634300896545,0.03474675534979143,0.08544600289588493,-0.05863413757983787,sonne+n+insel+n küste
Afrikas,5.063998859268514,-0.003300847073248147,0.01648254345937289,-0.003330878990785171,Afrikas
küste afrika+s,3.9661137044704136,0.03474018297714708,0.08549413053615697,-0.05864806624852682,küste afrika+s
